No ,Kode ,Title ,Harga,Harga Dasar,Keterangan,,,,,,,,,,,
120,SFC 169,SFC 169," 	117,360 "," 	97,800 ",warna:,Abu ,",",Bahan:,Lacoste,",",Ukuran:,M-L,",",Keterangan Lain :,,
121,SMD 085,SMD 085," 	117,360 "," 	97,800 ",warna:,Biru,",",Bahan:,Lacoste,",",Ukuran:,M-L,",",Keterangan Lain :,,
122,SCR 556,SCR 556," 	119,040 "," 	99,200 ",warna:,Hitam,",",Bahan:,Lacoste,",",Ukuran:,M-L,",",Keterangan Lain :,,
123,SMD 585,SMD 585," 	119,040 "," 	99,200 ",warna:,Biru,",",Bahan:,Lacoste,",",Ukuran:,M-L,",",Keterangan Lain :,,
124,SMD 105 ,SMD 105 ," 	119,040 "," 	99,200 ",warna:,Dongker,",",Bahan:,Lacoste,",",Ukuran:,M-L,",",Keterangan Lain :,,
125,SCR 751,SCR 751," 	121,920 "," 	101,600 ",warna:,Coklat,",",Bahan:,Cotton,",",Ukuran:,M-L,",",Keterangan Lain :,,
126,SCR 305,SCR 305," 	125,040 "," 	104,200 ",warna:,Abu,",",Bahan:,Cotton,",",Ukuran:,M-L,",",Keterangan Lain :,,
127,SHJ 131,SHJ 131," 	153,720 "," 	128,100 ",warna:,Biru,",",Bahan:,Jeans,",",Ukuran:,M-L,",",Keterangan Lain :,,
128,SCR 515,SCR 515," 	138,360 "," 	115,300 ",warna:,Biru,",",Bahan:,Denim ,",",Ukuran:,M-L ,",",Keterangan Lain :,,
129,SDL 114,SDL 114," 	105,480 "," 	87,900 ",warna:,Abu ,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
130,SDL 088,SDL 088," 	106,320 "," 	88,600 ",warna:,Abu ,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
131,STI 263,STI 263," 	123,840 "," 	103,200 ",warna:,Mrhkom,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
132,SDL 433,SDL 433," 	106,320 "," 	88,600 ",warna:,Abu,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
133,SRT 195,SRT 195," 	111,000 "," 	92,500 ",warna:,Cklmud,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
134,SGU 189,SGU 189," 	150,840 "," 	125,700 ",warna:,Abubir,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
135,SDL 947,SDL 947," 	106,320 "," 	88,600 ",warna:,Abu,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
136,SSC 218,SSC 218," 	152,520 "," 	127,100 ",warna:,Abu Kombinasi,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
137,SDL 531,SDL 531," 	106,320 "," 	88,600 ",warna:,Abu,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
138,SKK 465,SKK 465," 	151,560 "," 	126,300 ",warna:,Abu,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
139,SRD 128,SRD 128," 	161,760 "," 	134,800 ",warna:,Navy,",",Bahan:,Taslan,",",Ukuran:,M-L ,",",Keterangan Lain :,,
140,SMD 874,SMD 874," 	158,880 "," 	132,400 ",warna:,Abu Kombinasi,",",Bahan:,Taslan,",",Ukuran:,M-L,",",Keterangan Lain :,,
141,SKM 283,SKM 283," 	152,400 "," 	127,000 ",warna:,Abu,",",Bahan:,Milky,",",Ukuran:,M-L,",",Keterangan Lain :,,
142,SMD 413,SMD 413," 	158,880 "," 	132,400 ",warna:,Htmkom,",",Bahan:,Taslan,",",Ukuran:,M-L,",",Keterangan Lain :,,
143,STD 796,STD 796," 	142,560 "," 	118,800 ",warna:,Htmabu,",",Bahan:,Parasit,",",Ukuran:,M-L,",",Keterangan Lain :,,
144,SDD 455,SDD 455," 	142,560 "," 	118,800 ",warna:,Abu Kombinasi,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
145,SGL 671,SGL 671," 	161,760 "," 	134,800 ",warna:,Biru Merah,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
146,SGU 683,SGU 683," 	154,440 "," 	128,700 ",warna:,Coklat,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
147,SIP 233,SIP 233," 	138,960 "," 	115,800 ",warna:,Abubir,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
148,STJ 493,STJ 493," 	166,080 "," 	138,400 ",warna:,Htmabu,",",Bahan:,Taslan,",",Ukuran:,M-L,",",Keterangan Lain :,,
149,SMM 730,SMM 730," 	155,280 "," 	129,400 ",warna:,Htmkom,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
150,SIR 506 ,SIR 506 ," 	141,600 "," 	118,000 ",warna:,MRHhtm,",",Bahan:,Diadora,",",Ukuran:,M-L,",",Keterangan Lain :,,
151,SGU 420,SGU 420," 	162,960 "," 	135,800 ",warna:,Hitam,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
152,SGU 182,SGU 182," 	154,440 "," 	128,700 ",warna:,Abuhtm,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
153,SRD 242,SRD 242," 	161,040 "," 	134,200 ",warna:,Abubir,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
154,SGU 884,SGU 884," 	154,440 "," 	128,700 ",warna:,Hitam,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
155,SGL 023,SGL 023," 	161,760 "," 	134,800 ",warna:,Mrgkom ,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
156,SMI 746,SMI 746," 	119,880 "," 	99,900 ",warna:,Coklat,",",Bahan:,Lotto,",",Ukuran:,M-L,",",Keterangan Lain :,,
157,SKM 737,SKM 737," 	154,320 "," 	128,600 ",warna:,Hitam,",",Bahan:,Lotto,",",Ukuran:,M-L,",",Keterangan Lain :,,
158,SHJ 992,SHJ 992," 	184,200 "," 	153,500 ",warna:,Hitam,",",Bahan:,Jeans,",",Ukuran:,L-XL,",",Keterangan Lain :,,
159,SGD 102,SGD 102," 	208,200 "," 	173,500 ",warna:,Biru,",",Bahan:,Jeans,",",Ukuran:,L-XL,",",Keterangan Lain :,,
160,SIP 074,SIP 074," 	177,000 "," 	147,500 ",warna:,Birkom,",",Bahan:,Jeans,",",Ukuran:,M-L,",",Keterangan Lain :,,
161,SGD 229,SGD 229," 	200,160 "," 	166,800 ",warna:,Biekom,",",Bahan:,Jeans,",",Ukuran:,L-XL,",",Keterangan Lain :,,
162,SZK 205,SZK 205," 	180,840 "," 	150,700 ",warna:,Hitam,",",Bahan:,Ferari,",",Ukuran:,L-XL-XXL,",",Keterangan Lain :,,
163,SZK 753,SZK 753," 	211,680 "," 	176,400 ",warna:,Coklat ,",",Bahan:,Viena,",",Ukuran:,L-Xl-XXL,",",Keterangan Lain :,,
164,SNW 681,SNW 681," 	166,200 "," 	138,500 ",warna:,Hitam,",",Bahan:,Ferari,",",Ukuran:,L-XL-XXL,",",Keterangan Lain :,,
165,SZK 634,SZK 634," 	194,520 "," 	162,100 ",warna:,Hitam,",",Bahan:,Ferari,",",Ukuran:,L-XL,",",Keterangan Lain :,,
166,SZK 684,SZK 684," 	135,360 "," 	112,800 ",warna:,Hitam,",",Bahan:,Oscar,",",Ukuran:,L-XL-XXL,",",Keterangan Lain :,,
167,SMI 738,SMI 738," 	209,880 "," 	174,900 ",warna:,Htmmrh,",",Bahan:,Cordura,",",Ukuran:,L-XL ,",",Keterangan Lain :,,
168,SMI 401,SMI 401," 	196,320 "," 	163,600 ",warna:,Htmabu,",",Bahan:,Cordura,",",Ukuran:,L-XL,",",Keterangan Lain :,,
169,SMI 202,SMI 202," 	194,520 "," 	162,100 ",warna:,Htmabu,",",Bahan:,Cordura,",",Ukuran:,L-XL,",",Keterangan Lain :,,
170,SNW 499,SNW 499," 	90,840 "," 	75,700 ",warna:,Hitam,",",Bahan:,Ferari,",",Ukuran:,All Size,",",Keterangan Lain :,,
171,SNW 460,SNW 460," 	89,520 "," 	74,600 ",warna:,Hitam,",",Bahan:,Ferari,",",Ukuran:,All Size,",",Keterangan Lain :,,
172,SPP 317,SPP 317," 	145,680 "," 	121,400 ",warna:,Coklat Tua,",",Bahan:,Kulit,",",Ukuran:,All Size,",",Keterangan Lain :,,
173,SPP 330,SPP 330," 	85,680 "," 	71,400 ",warna:,Coklat,",",Bahan:,Carlit,",",Ukuran:,All Size,",",Keterangan Lain :,,
174,SKS 318,SKS 318," 	157,800 "," 	131,500 ",warna:,Putih,",",Bahan:,Ferari,",",Ukuran:,37x12x35,",",Keterangan Lain :,,
175,SRM 012,SRM 012," 	194,160 "," 	161,800 ",warna:,Orange,",",Bahan:,MX,",",Ukuran:,35x17x28,",",Keterangan Lain :,,
176,SAP 153,SAP 153," 	176,880 "," 	147,400 ",warna:,Orgdgkr,",",Bahan:,Jeanskom,",",Ukuran:,29x14x36,",",Keterangan Lain :,,
177,SKS 489,SKS 489," 	144,480 "," 	120,400 ",warna:,Coklat,",",Bahan:,Ferari,",",Ukuran:,37x10x25,",",Keterangan Lain :,,
178,SKS 690,SKS 690," 	145,320 "," 	121,100 ",warna:,Abu,",",Bahan:,Virotex,",",Ukuran:,45x10x25,",",Keterangan Lain :,,
179,SDD 492,SDD 492," 	143,160 "," 	119,300 ",warna:,Abu,",",Bahan:,Burberry,",",Ukuran:,40x16x26,",",Keterangan Lain :,,
180,SRM982,SRM982," 	137,520 "," 	114,600 ",warna:,Maroon,",",Bahan:,Crocodile,",",Ukuran:,36x10x22,",",Keterangan Lain :,,
181,SRM 354,SRM 354," 	178,200 "," 	148,500 ",warna:,Hitam,",",Bahan:,Kyiotech,",",Ukuran:,38x15x25,",",Keterangan Lain :,,
182,SRM 438,SRM 438," 	156,480 "," 	130,400 ",warna:,Mrnkom,",",Bahan:,Burberry,",",Ukuran:,32x13x25,",",Keterangan Lain :,,
183,STE 934,STE 934," 	142,560 "," 	118,800 ",warna:,Coklat Kombinasi,",",Bahan:,Virotex,",",Ukuran:,30x14x32,",",Keterangan Lain :,,
184,SAP 175,SAP 175," 	170,040 "," 	141,700 ",warna:,Biru,",",Bahan:,Jeans,",",Ukuran:,39x10x27,",",Keterangan Lain :,,
185,SRM 892,SRM 892," 	168,720 "," 	140,600 ",warna:,Krem,",",Bahan:,Virotex,",",Ukuran:,37x16x28,",",Keterangan Lain :,,
186,SRM 847,SRM 847," 	143,280 "," 	119,400 ",warna:,Coklat ,",",Bahan:,Ferari,",",Ukuran:,34x12x22,",",Keterangan Lain :,,
187,SAP 944,SAP 944," 	171,720 "," 	143,100 ",warna:,Kuning,",",Bahan:,Virotex,",",Ukuran:,28x16x31,",",Keterangan Lain :,,
188,SRM 613,SRM 613," 	154,560 "," 	128,800 ",warna:,Kuning ,",",Bahan:,Pasirkom,",",Ukuran:,35x15x25,",",Keterangan Lain :,,
189,SRM 034,SRM 034," 	161,640 "," 	134,700 ",warna:,Fullcolor,",",Bahan:,Virotex,",",Ukuran:,32x13x44,",",Keterangan Lain :,,
190,SFX 228,SFX 228," 	129,960 "," 	108,300 ",warna:,Cream ,",",Bahan:,Bj,",",Ukuran:,36x12x32,",",Keterangan Lain :,,
191,SRM 471,SRM 471," 	139,320 "," 	116,100 ",warna:,Merah,",",Bahan:,Ferari,",",Ukuran:,34x13x23,",",Keterangan Lain :,,
192,SKS 712,SKS 712," 	150,960 "," 	125,800 ",warna:,Abu,",",Bahan:,Ferari,",",Ukuran:,40x12x30,",",Keterangan Lain :,,
193,SAP 458,SAP 458," 	178,680 "," 	148,900 ",warna:,Merah,",",Bahan:,Virotex,",",Ukuran:,36x15x26,",",Keterangan Lain :,,
194,SKS 549,SKS 549," 	155,400 "," 	129,500 ",warna:,Coklat,",",Bahan:,Ferari,",",Ukuran:,39x13x24,",",Keterangan Lain :,,
195,SRM 405,SRM 405," 	146,160 "," 	121,800 ",warna:,Maroon,",",Bahan:,Crocodile,",",Ukuran:,20x29x13,",",Keterangan Lain :,,
196,SKS 790,SKS 790," 	144,120 "," 	120,100 ",warna:,Kuning ,",",Bahan:,Ferari,",",Ukuran:,36x11x23,",",Keterangan Lain :,,
197,SRM 656,SRM 656," 	155,400 "," 	129,500 ",warna:,Mrnkom,",",Bahan:,Virotex,",",Ukuran:,43x16x31,",",Keterangan Lain :,,
198,STE 658,STE 658," 	131,880 "," 	109,900 ",warna:,Coklat ,",",Bahan:,Orchide,",",Ukuran:,32x12x25,",",Keterangan Lain :,,
199,STE 269,STE 269," 	131,040 "," 	109,200 ",warna:,Cream ,",",Bahan:,Laros,",",Ukuran:,34x10x26,",",Keterangan Lain :,,
200,STE 728,STE 728," 	135,840 "," 	113,200 ",warna:,Orange,",",Bahan:,Kaisar,",",Ukuran:,34x11x23,",",Keterangan Lain :,,
201,SBL013,SBL013," 	115,320 "," 	96,100 ",warna:,Coklat,",",Bahan:,Austin,",",Ukuran:,27x8x27,",",Keterangan Lain :,,
202,STE 804,STE 804," 	110,040 "," 	91,700 ",warna:,Orgkom,",",Bahan:,Virotex,",",Ukuran:,29x11x20,",",Keterangan Lain :,,
203,STE 108,STE 108," 	131,880 "," 	109,900 ",warna:,Krmkom,",",Bahan:,Virotex,",",Ukuran:,31x8x22,",",Keterangan Lain :,,
204,SFC 686 ,SFC 686 ," 	133,440 "," 	111,200 ",warna:,Kuning ,",",Bahan:,Kaisar,",",Ukuran:,26x11x18,",",Keterangan Lain :,,
205,SBL 488,SBL 488," 	150,240 "," 	125,200 ",warna:,Coklat,",",Bahan:,Virotex,",",Ukuran:,24x15x29,",",Keterangan Lain :,,
206,SLD 808,SLD 808," 	147,840 "," 	123,200 ",warna:,Putih,",",Bahan:,Canvas,",",Ukuran:,30x10x30,",",Keterangan Lain :,,
207,SBL 254,SBL 254," 	134,520 "," 	112,100 ",warna:,Merah,",",Bahan:,Jecko,",",Ukuran:,28x14x37,",",Keterangan Lain :,,
208,SBL 174,SBL 174," 	155,160 "," 	129,300 ",warna:,Coklat,",",Bahan:,Ferari,",",Ukuran:,30x15x40,",",Keterangan Lain :,,
209,SBL 016,SBL 016," 	162,480 "," 	135,400 ",warna:,Cream ,",",Bahan:,Autoleader,",",Ukuran:,30x15x34,",",Keterangan Lain :,,
210,SBL 687,SBL 687," 	150,240 "," 	125,200 ",warna:,Coklat Kombinasi,",",Bahan:,Canvas,",",Ukuran:,33x13x33,",",Keterangan Lain :,,
211,SRB 545,SRB 545," 	143,160 "," 	119,300 ",warna:,Putih Kombinasi,",",Bahan:,Canvas,",",Ukuran:,34x17x38,",",Keterangan Lain :,,
212,SFM 165,SFM 165," 	137,520 "," 	114,600 ",warna:,Cream ,",",Bahan:,Virotex,",",Ukuran:,31x11x35,",",Keterangan Lain :,,
213,SBL 756,SBL 756," 	222,360 "," 	185,300 ",warna:,Coklat,",",Bahan:,Penelope,",",Ukuran:,28x10x36,",",Keterangan Lain :,,
214,SSD 966,SSD 966," 	140,880 "," 	117,400 ",warna:,Hitam,",",Bahan:,Canvas,",",Ukuran:,34x12x34,",",Keterangan Lain :,,
215,STE 863,STE 863," 	129,240 "," 	107,700 ",warna:,Coklat ,",",Bahan:,Virotex,",",Ukuran:,28x11x30,",",Keterangan Lain :,,
216,SFC 864,SFC 864," 	142,080 "," 	118,400 ",warna:,Dgkrkom,",",Bahan:,Jeans,",",Ukuran:,39x14x38,",",Keterangan Lain :,,
217,SFS 141,SFS 141," 	126,960 "," 	105,800 ",warna:,Abu,",",Bahan:,Canvas,",",Ukuran:,33x13x40,",",Keterangan Lain :,,
218,SFC 070,SFC 070," 	148,920 "," 	124,100 ",warna:,Maroon,",",Bahan:,Jacko,",",Ukuran:,25x10x31,",",Keterangan Lain :,,
219,SFC 786,SFC 786," 	131,280 "," 	109,400 ",warna:,Abu ,",",Bahan:,Canvas,",",Ukuran:,30x13x37,",",Keterangan Lain :,,
220,SSD 120,SSD 120," 	137,280 "," 	114,400 ",warna:,Htmmrh,",",Bahan:,Canvas,",",Ukuran:,33x12x31,",",Keterangan Lain :,,
221,SBL 057,SBL 057," 	153,840 "," 	128,200 ",warna:,Cream ,",",Bahan:,Galaros,",",Ukuran:,36x12x34,",",Keterangan Lain :,,
222,SAP 004,SAP 004," 	160,920 "," 	134,100 ",warna:,Coklat,",",Bahan:,Suede Soft,",",Ukuran:,34x10x31,",",Keterangan Lain :,,
223,SAP 191,SAP 191," 	176,280 "," 	146,900 ",warna:,Coklat,",",Bahan:,Ferari,",",Ukuran:,36x10x34,",",Keterangan Lain :,,
224,SRM 609,SRM 609," 	153,000 "," 	127,500 ",warna:,Kuning,",",Bahan:,Virotex,",",Ukuran:,36x14x30,",",Keterangan Lain :,,
225,LIM 721,LIM 721," 	123,240 "," 	102,700 ",warna:,Coklat,",",Bahan:,Jacko,",",Ukuran:,47x12x33,",",Keterangan Lain :,,
226,SBL 642,SBL 642," 	148,440 "," 	123,700 ",warna:,Coklat Kombinasi,",",Bahan:,Canvas,",",Ukuran:,30x12x24,",",Keterangan Lain :,,
227,SAP 054,SAP 054," 	171,120 "," 	142,600 ",warna:,Mrhcre,",",Bahan:,Virotex,",",Ukuran:,30x9x28,",",Keterangan Lain :,,
228,SFC 905,SFC 905," 	129,480 "," 	107,900 ",warna:,Mrnkom,",",Bahan:,Orchide,",",Ukuran:,38x13x27,",",Keterangan Lain :,,
229,SFC 300,SFC 300," 	131,040 "," 	109,200 ",warna:,orange,",",Bahan:,Jackline,",",Ukuran:,33x10x25,",",Keterangan Lain :,,
230,SRB 028,SRB 028," 	113,040 "," 	94,200 ",warna:,Putih Kombinasi,",",Bahan:,Canvas,",",Ukuran:,29x9x28,",",Keterangan Lain :,,
231,SRB 774,SRB 774," 	137,760 "," 	114,800 ",warna:,Maroon,",",Bahan:,Ferari,",",Ukuran:,24x8x17,",",Keterangan Lain :,,
232,SBL 853,SBL 853," 	144,600 "," 	120,500 ",warna:,Merah,",",Bahan:,Autoleader,",",Ukuran:,25x8x21,",",Keterangan Lain :,,
233,SAL 408,SAL 408," 	101,640 "," 	84,700 ",warna:,Coklat,",",Bahan:,Spon,",",Ukuran:,27x11x28,",",Keterangan Lain :,,
234,STE 622,STE 622," 	97,320 "," 	81,100 ",warna:,Cream ,",",Bahan:,Laros,",",Ukuran:,26x3x15,",",Keterangan Lain :,,
235,STE 564,STE 564," 	105,840 "," 	88,200 ",warna:,Coklat,",",Bahan:,Laros,",",Ukuran:,26x3x17,",",Keterangan Lain :,,
236,STE 679,STE 679," 	99,000 "," 	82,500 ",warna:,Kngtsc,",",Bahan:,Virotex,",",Ukuran:,28x5x18,",",Keterangan Lain :,,
237,SGI 655,SGI 655," 	112,800 "," 	94,000 ",warna:,Pink,",",Bahan:,Penelope,",",Ukuran:,24x8x15,",",Keterangan Lain :,,
238,STV 217,STV 217," 	93,360 "," 	77,800 ",warna:,Coklat Tua,",",Bahan:,De Kom,",",Ukuran:,23x6x11,",",Keterangan Lain :,,
239,SAL 604,SAL 604," 	83,640 "," 	69,700 ",warna:,Coklat Tua,",",Bahan:,De Kom,",",Ukuran:,23x6x11,",",Keterangan Lain :,,
240,SGI 428,SGI 428," 	92,160 "," 	76,800 ",warna:,Cream ,",",Bahan:,De Kom,",",Ukuran:,23x5x13,",",Keterangan Lain :,,